Date,Open,High,Low,Close,Volume
2024-01-05,185.14,186.74,184.34,185.67,54321000
2024-01-04,184.23,185.88,183.92,185.14,45678000
2024-01-03,184.22,185.15,182.73,184.25,67890000
2024-01-02,185.85,186.54,183.92,184.22,78901000
2024-01-01,186.54,187.05,184.79,185.85,56789000
2023-12-29,187.15,187.95,185.83,186.54,45678000
2023-12-28,186.05,187.45,185.89,187.15,34567000
2023-12-27,185.45,186.75,184.94,186.05,43210000
2023-12-26,184.68,185.98,184.21,185.45,32109000
2023-12-25,183.92,185.01,183.70,184.68,21098000
2023-12-22,183.15,184.45,182.89,183.92,43210000
2023-12-21,182.45,183.67,182.01,183.15,32109000
2023-12-20,181.89,182.89,181.45,182.45,54321000
2023-12-19,181.34,182.15,180.89,181.89,43210000
2023-12-18,180.78,181.67,180.34,181.34,32109000
2023-12-15,180.12,181.23,179.89,180.78,43210000
2023-12-14,179.56,180.45,179.12,180.12,32109000
2023-12-13,178.89,179.89,178.45,179.56,54321000
2023-12-12,178.34,179.23,177.89,178.89,43210000
2023-12-11,177.78,178.67,177.34,178.34,32109000
2023-12-08,177.23,178.15,176.89,177.78,43210000
2023-12-07,176.67,177.45,176.23,177.23,32109000
2023-12-06,176.12,176.89,175.78,176.67,54321000
2023-12-05,175.56,176.34,175.12,176.12,43210000
2023-12-04,175.01,175.89,174.67,175.56,32109000
2023-12-01,174.45,175.34,174.12,175.01,43210000
2023-11-30,173.89,174.78,173.45,174.45,32109000
2023-11-29,173.34,174.23,172.89,173.89,54321000
2023-11-28,172.78,173.67,172.34,173.34,43210000
2023-11-27,172.23,173.15,171.89,172.78,32109000
